url,View(s),Reply(s),Phone Provider,Phone Type,Subject,Question,Question Author Level,Question Author Qualities,Num Also Have Question,Answer,Accepted Answer Helpfulness,Answer Author Level,Other Helpful Answers
https://us.community.samsung.com/t5/Galaxy-Note-7/Unfortunately-Messages-has-stopped-Keeps-popping-up-on-my-Galaxy/m-p/29713#M2078,1456,5,Samsung,Galaxy Note 7,"“Unfortunately, Messages has stopped” Keeps popping up on my Galaxy Note 7","
On my Galaxy Note 7, I get this pop up every time I send a text message to someone. I'm not sure if just that one person or everyone I text since I mainly text one person. I tried restarting my device and clearing out my cache, but that didn't fix the issue. Does anyone else have this issue or know a fix for it?



						
							Solved!
						
						Go to Solution.



",Constellation,,,"
Delete all your messages. Clear cache and data for the messaging app.Try again. 

Superman on Galaxy S7 SM-G930T, T-Mobile, Baseband:G930TUVY3APIATo OP: click ""✓ Accept as Solution"" when you find an answer that works for you.



",0,Esteemed Contributor (Elite),[]
https://us.community.samsung.com/t5/Galaxy-Note-7/Samsung-Cloud-vs-Backup/m-p/36528#M2939,1711,5,Samsung,Galaxy Note 7,Samsung Cloud vs. Backup,"
ATT disabled Samsung Cloud on my Note 7 but  I still have the option to backup my data (under settings) including phone, documents, music, apps, etc.  What is the difference between Samsung and Samsung Backup? I didn't see anything for pictures/gallery. Could this be the main difference?  Anyway, if someone who has Cloud could let me know, that would be great. Thanks!



						
							Solved!
						
						Go to Solution.



",Cosmic Ray,,,"
Hello and welcome to the Samsung Community. We're glad you're here.
 
The Samsung Cloud ( http://www.samsung.com/us/support/answer/ANS00060509/ ) has several things it can back up, restore, and sync. The full list is there, but it does include the gallery.
The Samsung account back up is a much smaller list. Type of data backed up: Calendar, Contacts, Internet, Memos.
 
By far the most complete version of a back up can be achieved by using Smart Switch. http://www.samsung.com/us/smart-switch/  When downloaded onto your computer you can use the program to back up files from your smart phone, including pictures.

Be sure to click "" ✓ Accept as Solution"" when you find an answer that works for you.



",1,Samsung Moderator,"['\nHello and welcome to the Samsung Community. We\'re glad you\'re here.\n\xa0\nThe Samsung Cloud ( http://www.samsung.com/us/support/answer/ANS00060509/\xa0) has several things it can back up, restore, and sync. The full list is there, but it does include the gallery.\nThe Samsung account back up is a much smaller list.\xa0Type of data backed up: Calendar, Contacts, Internet, Memos.\n\xa0\nBy far the most complete version of a back up can be achieved by using Smart Switch.\xa0http://www.samsung.com/us/smart-switch/ \xa0When downloaded onto your computer you can use the program to back up files from your smart phone, including pictures.\n\nBe sure to click "" ✓ Accept as Solution"" when you find an answer that works for you.\n\n\n\n']"
https://us.community.samsung.com/t5/Galaxy-Note-7/How-all-phone-companies-rip-us-off/m-p/56975#M5895,447,1,Samsung,Galaxy Note 7,How all phone companies rip us off,"
We have now learned why Samsung, Apple, etc seal the units so that you cannot replace the battery. After a few years, they send out a update that drops your battery charge like with the Note 7. Maybe 1st update drops it to 90%, 2nd update to 75%. Soon you upgrade your phone because you think your battery is bad, and you can't  replace it. It could be your carrier. The battery probably wasnt bad at all. They made it look bad by dropping the charge it takes. They can even cut the battery off so you will have to upgrade your phone. Pretty smart idea.



						
							Solved!
						
						Go to Solution.



",Nebula,,,"
Hmmmm great conspiracy


",0,Constellation,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/Still-have-3-note-7/m-p/53962#M5793,890,7,Samsung,Galaxy Note 7,Still have 3 note 7,"
I bought 3 note 7 off eBay before the recalls happened and now they want me to return them with ZERO compensation for these devices  hmmm unless that changes Samsung will never get 100% of their phones back cuz mine will stick with me even if I have to root them to get them to work fully



						
							Solved!
						
						Go to Solution.



",Asteroid,,,"
For questions regarding purchases not made through either your carrier or Samsung.com, you may contact us at 1-844-365-6197 for assistance with your question. 


",2,Black Hole,"['\nFor questions regarding purchases not made through either your carrier or Samsung.com, you may\xa0contact us at 1-844-365-6197 for assistance with your question.\xa0\n\n\n', '\nIf you have Exynos version I gladly take one from you. Let me know lol.\xa0I am serious\xa0\n\n\n', '\nActually @Volkswagen7, all moderators on this Community are Samsung employees. We do have some ""Elite"" Community members that are not employees but got their ranking by being some of the most\xa0knowledgeable and helpful Community members. We\'re always looking for more of them too!\n\nBe sure to click "" ✓ Accept as Solution"" when you find an answer that works for you.\n\n\n\n']"
https://us.community.samsung.com/t5/Galaxy-Note-7/Samsung-Update-to-disable-charging/m-p/48537#M5492,2331,14,Samsung,Galaxy Note 7,Samsung Update to disable charging,"
AT&T Free Msg: Urgent update. As of 1/5/2017, Samsung's software update to prevent the Galaxy Note7 battery from recharging will be pushed to your Note7. The battery will no longer recharge. This Note7 was recalled and is banned on all flights in both checked and carry-on luggage. Your safety is our priority; please return your Note7 to the place you purchased for an exchange. For more details go to att.com/note7



						
							Solved!
						
						Go to Solution.



",Cosmic Ray,,,"
Right, I completely agree with you. We got 2 Note 7 on Verizon.Verizon statement today is that it will not be pushing any updates or blocking the Note 7. Also, there's more chance that you have a car accident DAILY that your Note 7 gets on fire in the next 2 years.We will keep the Note 7 until Samsung give us the option of a FREE Galaxy S8 Plus or Note 8.DOWNGRADE IS NOT AN OPTION! This is the statement from Verizon: http://www.verizon.com/about/news/verizon-statement-regarding-samsung-galaxy-note7


",1,Galaxy,"['\nThey will have to blacklist my phone 1st... Got to get around the package disabler 1st...\n\n\n', ""\nThe only solution would be to allow us an upgrade when the 8's come out\n\n\n"", ""\nRight, I completely agree with you.\xa0We got 2 Note 7 on Verizon.Verizon statement today is that it will not be pushing any updates or blocking the Note 7.\xa0Also, there's more chance that you have a car accident DAILY that your Note 7 gets on fire in the next 2 years.We will keep the Note 7 until Samsung give us the option of a FREE Galaxy S8 Plus or Note 8.DOWNGRADE IS NOT AN OPTION!\xa0This is the statement from Verizon:\xa0http://www.verizon.com/about/news/verizon-statement-regarding-samsung-galaxy-note7\n\n\n""]"
https://us.community.samsung.com/t5/Galaxy-Note-7/Need-help-Note-7-OTA-update-prevention/m-p/49480#M5635,1178,19,Samsung,Galaxy Note 7,Need help - Note 7 OTA update prevention,"
I have managed to get 100%battery again and now need to know what processes to disable to prevent OTA updates from limiting it again. Can anyone help?  Thanks in advance.



						
							Solved!
						
						Go to Solution.



",Asteroid,,,"
Go to facebook and type in Note 7 alliance. All the info is there. Read first, then follow instructions step by step.


",2,Nebula,"['\n""Dude just turn the phone in and be through with it lol"" ....Well DUDE, I guess you never had a real phone. Search facebook Note 7. There are several. Note7rebels charge. There is a free one on there.\n\n\n', ""\nMy NOTE7 is the best smartphone I owned to date and haking it to not change is wrong it don't get hot or hasn't blown up & probably never will but if u must replace it do it with a Note8 or Edge8 don't make us down grade, if we still have Note7 is cause wer loyal Customers I don't want to go back to Apple...Do the right thing SAMSUNG!!!!\n\n\n""]"
https://us.community.samsung.com/t5/Galaxy-Note-7/Note7-loyal-Customers-respect/m-p/50016#M5683,539,2,Samsung,Galaxy Note 7,Note7 loyal Customers respect,"
Commissioner Ebrahim Mohamed says investigators will meet with Samsung again at the end of the month to assess its progress."" We were concerned about the number of phones that were involved. The initial amount of about 55 was reduced to 23."" There's reports of half a dozen other phone models catching fire just this year. Anything with a lithium ion battery can explode/catch fire and if the rate is 1 in 1 million or 1 in 22,000 it just depends on how many models are sold as to how widespread it is or if anyone even finds out about it...Bottom line dont make us down grade SAMSUNG you should offer replacement of a Note8 or 8Edge if not available a loaner Edge7 till they are available it's the right thing to due & keep your $100 SAMSUNG!!!  ....  First, the media started falsely advertising that the Note 7 exploded. But by definition an object that explodes should be into multiple parts, and if you see ALL the Pictures of the ""Note 7 Exploded"", the Note 7 STILL in one piece. Even when they drop the Note 7 from a 1000 FT, it remained in one piece. Second, why Samsung didn't push back when they discovered that all those cases were FAKE. They are a big company, they should have the balls to push back on all that FAKE propaganda by the media. Third, the RECALL process was a mess, Samsung should contact and coordinate any exchange straight to their customers, it should also have service centers like APPLE does. Four, ANY EXCHANGE should be an equivalent or better device, DOWNGRADE IS NOT AN OPTION. Five, it existing Note 7 want to KEEP their Note 7 because Samsung didn't offer an equal or better device, they should let us keep it and offer a free upgrade when an equivalent of or better device gets available WITHOUT any due Dates or additional cost.Six, Samsung needs to start making their customers happy, not their wireless services providers. They need to focus on building a relationship with their Users, their biggest customers!!!  



						
							Solved!
						
						Go to Solution.



",Halo,,,"
Samsung is NOT only a smartphone manufacturer, the build so many other devices, home appliances, and parts used on so many applications.Check this really good overview of how BIG is Samsung. https://www.youtube.com/shared?ci=Y2p604Aei-Y We as customers have the right and obligations to demand receive the quality, service, and respect we deserve.​


",1,Galaxy,"['\nSamsung is NOT only a smartphone manufacturer, the build so many other devices, home appliances, and parts used on so many applications.Check this really good overview of how BIG is Samsung.\xa0https://www.youtube.com/shared?ci=Y2p604Aei-Y\xa0We as customers have the right and obligations to demand receive the quality, service, and respect we deserve.\u200b\n\n\n']"
https://us.community.samsung.com/t5/Galaxy-Note-7/Samsung-disabling-Note-7-on-Dec-19/m-p/49430#M5628,602,3,Samsung,Galaxy Note 7,Samsung disabling Note 7 on Dec 19,"
Consumer safety remains our highest priority and we’ve had overwhelming participation in the U.S. Note7 Refund and Exchange Program so far, with more than 93 percent of all recalled Galaxy Note7 devices returned. To further increase participation, a software update will be released starting on December 19th that will prevent U.S. Galaxy Note7 devices from charging and will eliminate their ability to work as mobile devices.



						
							Solved!
						
						Go to Solution.



",Halo,,,"
Just hurry up and cut the dang phone off already. The suspense is really gettin to me. Next I will have emotional distress. You still ain't gettin it back though unless a Federal Marshall shows up at my door with a warrant.


",1,Nebula,"['\nCuisinart Food Processors Recalled by Conair Due to Laceration HazardAre they gonna send a email and cut these off ?\n\n\n', ""\nJust hurry up and cut the dang phone off already. The suspense is really gettin to me. Next I will have emotional distress. You still ain't gettin it back though unless a Federal Marshall shows up at my door with a warrant.\n\n\n"", ""\n\t\t\t\n\t\t\t\t\n\t\t\t\t\t\n\t\t\t\t\t\tMy Note7 is perfect I waited a long time for it I owned many Apple since they started Steve Jobs pass so Innovation stopped I tried LG g4 g5 then my Note7 best smartphone I owned to date never gets hot under heavy use only warm it's not swollen which would indicate the batteries are expanding from overheating could cause them to short out and catch fire but not even the case with my Note7 I always monitoring the temp now there going to send out an update to make it a BRICK so wrong samsung should send out a update that would turn phone off if battery temp gets to high there should be a temp sensor built it my iPhone would pop up telling me temp to high and it did shut off its a no brainer Samsung but anyway If this happens I have no choice but to give in & take it Back SAMSUNG should offer replacement of a Note8 or 8Edge if not available a loaner 7Edge till they are available it's the right thing to due & keep your $100.00 SAMSUNG!!! Customer Satisfaction should come 1st period!!\n\t\t\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t\n\n""]"
https://us.community.samsung.com/t5/Galaxy-Note-7/Note-7-not-cool/m-p/31323#M2503,916,11,Samsung,Galaxy Note 7,Note 7 not cool,"
As for the note 7 recall, i can honestly say im done with samsung. I have spent so much money on galaxy and note phones. So now i will be an apple customer now. This last recall was the last straw for me. Im done. Apple, here i come. Just in time for the i phone 7 plus



						
							Solved!
						
						Go to Solution.



",Asteroid,,,"
Hello and welcome to the Samsung Community. We're glad you're here.
 
We do understand the frustrations with this whole Exchange Program but it's sheerly for the safety of you, the customer. While the devices that actually have had serious problems is low in the grand scheme of things, Samsung didn't want to take any chances. This is not manditory, and is completely up to you if you wish to participate, we just encourage that you do.
 
If there is anything we can clear up there are lots of posts here on the Community about the matter or you can post back here. Between the Community members and any of us from Samsung we have the answers or can get them!

Be sure to click "" ✓ Accept as Solution"" when you find an answer that works for you.



",0,Samsung Moderator,"['\n\t\t\t\n\t\t\t\t\n\t\t\t\t\t\n\t\t\t\t\t\tQuote: Samsaung has no right to block our phone that is working perfectly fine. If this happens, I\'m done with Samsaung period.... and if Samsung follows through with its threats to brick all remaining (and perfectly functioning) Note 7\'s in the field, as a field engineer and technician, i will go out of my way to advise all of my colleagues, my corporate as well as federal, state, and local government, in addition to all private sector clients to avoid purchase and use of any Samsung product. It is NOT a matter of looking out for our personal safety that Samsung is taking the measures it is to "" strongly encourage our participation in the Voluntary recall. ""... it is a deliberate strong-arm tactic to force us to give up... and the collective actions of Samsung employees are only personal in stifling our individual voices as we speak out in defense of our rights. If there were truly a safety issue or risk with these devices, those of us who have retained possession up until now, would willingly turn in our devices, being the responsible thing to do, in such a case.... especially where critical and potentially catastrophic data loss could occur. Their move to cap battery charge at 60% proves, in one aspect, that the battery can and will overheat and catch fire is a fallacy as doing so made it necessary to keep the phones on chargers almost if not constantly. No overheating, exploding, spontaneously combusting devices. There would likely be major losses in terms of time, lost communications and potentially life-threatening consequences should Samsung move forward with their bricking intentions.\n\t\t\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t\n\n', '\nIN ANY RECALL YOU SHOULD RECEIVE AN EQUAL OR BETTER REPLACEMENT.DOWNGRADE IS NOT AN OPTION.\xa0SAMSUNG FAIL THEIR CUSTOMERS BIG TIME WITH THE NOTE 7 RECALL.\n\n\n', ""\nWow, I hate to see you went with a Apple product. I did look at them at Best Buy, and their phones totally suck. Although Samsung has totally dissapointed on this phone, Apple would not be a choice. Apple is smilin ear to ear. I would rather support LG or HTC. My HTC One was a fine phone and I will probably use it since I still have it. I won't go back to Samsung either even if they come out with a Note 11, or whatever, because I would be scared it would be recalled. Samsung is done for me. My wife asked me what I wanted for Christmas. I told her a 70 in TV since prices are so good. I told her a Vizio, because I am scared of Samsung there too because they may cut it off on a recall. I would rather have the Samsung curved TV. She wants a new washer and drier. Well, guess what ? it wont be a Samsung cause they may cut it off too. It will take a federal warrant to get my N7 from me. I am keeping it no matter what.\n\n\n""]"
https://us.community.samsung.com/t5/Galaxy-Note-7/Samsung-Refuses-to-Exchange-or-Refund-Note-7/m-p/49203#M5594,685,8,Samsung,Galaxy Note 7,Samsung Refuses to Exchange or Refund Note 7,"
I had bought my Note 7 on ebay during summer in the U.S.A . I was made aware of the recall on my return to my country.  Sadly my country's Samsung store said they are not affiliated with Samsung USA so they can't exchange  or refund. I have called Samsung USA and they told me they can't help from the USA. Also they gave me a number to call.  They said that number could help me because that location is closer to me. (They speak Spanish ,  barely any English) it was pointless because they even refused to let me speak to a supervisor.  Then I called Samsung USA today and they made it clear that they can not help me. I think this is very unfair especially after my loyalty to the brand.  Do you think there is anything I can do?  I can't return it because of the airlines shipping rules as it relates to Note 7. I don't want the phone I just want my money back or exchange.  As of December 19th I will be without a phone. What can I do? 



						
							Solved!
						
						Go to Solution.



",Asteroid,,,"
Thank you for that information @mary-jane!
 
That device itself, while purchased in the US, looks to still originate from out of Country. I've got a link to our recall page, where you can get a bit more information specifically on this. It can be found here - Note7 Recall Page
 
There's also a specialized team dedicated to handling the recall of these devices, which I'm not sure as well if you contacted already. But I'm going to go ahead and add their number just in case - 1-844-365-6197
 
Now for a bit of some curveball information coming your way. Since it does appear this device is specific to the Southeast Asia region, I can provide you with the contact number to the support team of those countries. It's a bit of a longshot, but you may be able to get some information specifically pertaining to this device from them. Either way, please let me know how it goes with an update to this post. I'm here to help.
 
The Southeast Asia contact information as as follows:
1-800-726-7864
www.samsung.com/sg/support
 
Hope this helps in any way!

Be sure to click "" ✓ Accept as Solution"" when you find an answer that works for you. If a post stand out to you, perhaps you could give that post a star to show other community members they were able to assist or was relevant to you. 



",0,Honored Contributor,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/Frustrated-note-7-owner/m-p/49003#M5567,386,2,Samsung,Galaxy Note 7,Frustrated note 7 owner,"
Let me keep my note7 stop haking my charge capacity this is the best cell i ever had for loyal customers give us a edge8 or note8 don't make us down grade it's wrong!!!!!!



						
							Solved!
						
						Go to Solution.



",Halo,,,"
Samsung I love my Note7 its the best smartphone Ive ever owned hands down its wrong to hack my charging capability if it hasn't blown or caught on fire by now it won't ,Never gets hot at all ,For loyal customers if replaced it should be with a Edge8 or Note8 don't make us DOWN GRADE it's just wrong Samsung!!!!


",0,Halo,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/Where-is-my-MONEY-Samsung/m-p/44179#M4903,1121,10,Samsung,Galaxy Note 7,Where is my MONEY Samsung?!?!?!?,"
			
				
					
						Hey Samsung! Where is my money?  It's been over 30 Days since my items have arrived and signed by your warehouse.  This should be considered a fraud for being out of my products and money!  WHERE IS MY REFUND????????? I followed your return process and more.  I did my part so DO YOURS!!!!  WTF SAMSUNG!!!
					
				
			
			
				
			
			
				


						
							Solved!
						
						Go to Solution.



",Galaxy,,,"
			
				
					
						I finally received my refund after a month of Samsung receiving the Note 7. Stay on top of them and keep calling because if you don't, nothing will happen. Samsung Protection Plus Samsung VR Samsung Note 7 Samsung Gear 360 Finally received refunds for all 4. Chapter is no closed.
					
				
			
			
				
			
			
				

",0,Galaxy,['\nJust keep in mind that you had the integrity to do your duty as a citizen and get rid of that phone which might have destroyed your whole neighborhood had you kept it. You have my heartfelt blessings about getting that check. Samsung owes you a lot more than the check would be for if you got it.\n\n\n']
